LOTID,CREATIONDATE,MODIFICATIONDATE,MISCOTHERCOST,FEEDCOST,PROCESSINGCOST,VETCOST,RAILERWT,RAILERHEADCOUNT,RAILERSALES,CATTLECOST,TOTALPAYWTIN,TOTALOFFTRUCKWT,SEXTYPELOT,HEADINLOT,FEEDYARDPHONE,STARTPERIOD,ENDPERIOD
S218019,16/02/2021,07/09/2021,151.87,65285.69,3942.99,565.63,2570,2,1793.76,101792.66,73185,67690,ST,89,509-547-8864,16/02/2021,00:00.0
S206273,17/12/2020,03/06/2021,1306.6,78877.21,1400.16,148.95,1850,2,351,164723.26,127177,127530,HF,139,509-547-8864,17/12/2020,00:00.0
S206274,20/12/2020,07/09/2021,835.17,65049.26,4235.29,647.98,660,1,175,71000.58,53630,52350,HF,92,509-547-8864,20/12/2020,00:00.0
S217009,18/01/2021,01/07/2021,609.12,63202.89,5738.13,958.68,610,1,186.25,124168,112880,112880,NULL,120,509-547-8864,18/01/2021,00:00.0
S216014,26/01/2021,29/09/2021,345.6,66437.01,1341.24,169.08,910,1,731.85,76627.12,52312,50320,HF,80,509-547-8864,26/01/2021,00:00.0
S216017,02/02/2021,29/09/2021,259.2,57948.44,756.7,211.31,650,1,141,73298.4,52356,50740,NH,80,509-547-8864,02/02/2021,00:00.0
S219079,19/02/2021,01/03/2022,6083.87,201713.44,1424.5,844.36,540,1,116,95664.87,100890,95190,X,169,509-547-8864,19/02/2021,00:00.0
S219707,07/01/2021,30/07/2021,1032.75,106159.44,2003.76,569.34,2470,2,2133.38,141138.37,124800,124130,NULL,150,509-547-8864,07/01/2021,00:00.0
S216136,26/04/2021,27/10/2021,0,125449.05,1284.08,102.88,930,1,774.41,236960.81,182278,167990,HF,198,509-547-8864,26/04/2021,00:00.0
S209018,10/03/2020,03/06/2021,2335.44,117175.34,2538.99,1320.53,860,1,225,50189.98,40390,38690,X,116,509-547-8864,10/03/2020,00:00.0
S216153,18/05/2021,03/12/2021,481.96,178851.25,17378.59,1884.86,730,1,723.31,233606.84,192269,181850,HF,242,509-547-8864,18/05/2021,00:00.0
S216152,17/05/2021,30/12/2021,687.82,182412.85,1728.25,290.98,1620,2,930.86,242896.09,170032,162540,HF,220,509-547-8864,17/05/2021,00:00.0
S216019,05/02/2021,06/10/2021,418.77,91404.65,1375.21,559.98,690,1,570.04,0.01,103760,103760,NH,141,509-547-8864,05/02/2021,00:00.0
S218079,10/06/2021,30/12/2021,540.54,86800.28,372.02,214.54,790,1,713.38,0,77260,77260,ST,106,509-547-8864,10/06/2021,00:00.0
S226200,13/10/2022,13/07/2023,5872.07,189018.64,6041.98,2053.26,2090,3,502.22,256146.42,141892,138730,NH,212,509-547-8864,13/10/2022,00:00.0
S226201,13/10/2022,13/07/2023,3807.89,130822.62,1252.16,784.93,2130,2,2314.99,178399.3,96224,90240,NH,130,509-547-8864,13/10/2022,00:00.0
S216188,13/06/2021,02/03/2022,1036.27,97242.67,714.28,1960.88,2070,2,1665.42,130240.2,99420,94730,NH,123,509-547-8864,13/06/2021,00:00.0
S207144,21/12/2020,08/09/2021,2292.45,68020.22,3940.86,386.56,660,1,178.75,0.01,53820,53820,NULL,90,509-547-8864,21/12/2020,00:00.0
S227070,07/10/2022,11/07/2023,3557.52,118611.58,846.76,771.48,2090,2,1603.9,0.01,112950,112950,NULL,120,509-547-8864,07/10/2022,00:00.0
S226197,05/10/2022,19/06/2023,10030.01,301312.67,2123.32,1604.88,4030,4,3462.67,493791.14,295901,281510,HF,334,509-547-8864,05/10/2022,00:00.0
S219510,17/06/2021,28/09/2022,4578.19,254180.33,5777.61,576.02,1040,1,916.68,132012.97,87719,86000,HF,220,509-547-8864,17/06/2021,00:00.0
S228140,30/10/2022,13/06/2023,3259.31,109708.18,1580.23,763.02,6930,6,6740.19,167209.46,94876,90470,ST,112,509-547-8864,30/10/2022,00:00.0
S226213,30/10/2022,13/06/2023,1432.65,50302.64,571.4,388.9,1643,2,1347.34,74008.68,44455,40970,HF,50,509-547-8864,30/10/2022,00:00.0
S216078,18/03/2021,27/10/2021,0,260434.05,4316.26,225.05,940,1,741.27,376239.84,261604,249384,HF,338,509-547-8864,18/03/2021,00:00.0
S216113,14/04/2021,03/12/2021,2.44,115664.1,1312.11,291.45,1040,1,795.02,173102.58,120217,114008,HF,151,509-547-8864,14/04/2021,00:00.0
S216145,12/05/2021,03/12/2021,2.36,78969.13,1521.34,736.66,1610,2,315.5,166460,166460,166460,HF,160,509-547-8864,12/05/2021,00:00.0
S218192,15/12/2021,14/09/2022,2818.17,153661.57,3197.12,809.44,1400,1,1466.29,175054.5,109995,105176,ST,166,509-547-8864,15/12/2021,00:00.0
S228118,21/09/2022,08/05/2023,3129.96,118264.83,724.96,149.52,2970,3,2365.59,175166.28,98964,95430,ST,106,509-547-8864,21/09/2022,00:00.0
S219088,30/04/2021,17/08/2022,5858.42,401456.68,6276.76,1985.9,3301,6,1025.32,143944.6,106020,96930,X,300,509-547-8864,30/04/2021,00:00.0
S228126,29/09/2022,13/06/2023,10638.97,444424.25,3160.3,364.68,780,1,223.33,569997.93,299133,289810,ST,355,509-547-8864,29/09/2022,00:00.0
S226199,07/10/2022,13/06/2023,2706.08,97248.35,1047.7,489.46,1890,2,1909.25,129703.89,76162,74320,HF,91,509-547-8864,07/10/2022,00:00.0
S228134,13/10/2022,13/06/2023,1814.25,65962.69,587.96,1035.77,840,1,643.54,93108.16,53449,51830,ST,63,509-547-8864,13/10/2022,00:00.0
S226206,16/10/2022,13/06/2023,5252.55,192491.1,2039.33,222.06,1130,1,1307.59,254333.12,144233,136500,HF,176,509-547-8864,16/10/2022,00:00.0
S226207,18/10/2022,13/06/2023,3513.97,137709.52,2502.69,440.93,3508,3,3382.82,185219.73,108595,102130,HF,118,509-547-8864,18/10/2022,00:00.0
S228137,25/10/2022,13/06/2023,2383.92,82635.22,1123.48,156.37,1020,1,1278.15,103531.74,55513,53790,ST,80,509-547-8864,25/10/2022,00:00.0
S227075,13/10/2022,18/07/2023,4877.06,150485.35,1489.47,1688.39,534,1,912.03,239248.07,138023,131010,NM,167,509-547-8864,13/10/2022,00:00.0
S209020,18/03/2020,31/03/2021,1702.3,170139.66,2094.57,1151.06,1330,1,68,139371.36,140062,138770,X,210,509-547-8864,18/03/2020,00:00.0
S219806,02/03/2021,31/03/2022,2425.68,210929.75,2796.65,686.98,7882,8,6466.72,116343.76,80081,79226,NULL,198,509-547-8864,02/03/2021,00:00.0
S219807,02/04/2021,02/06/2022,1771.34,100904.13,2076.46,497.39,2140,3,909.89,54176.75,34618,33600,ST,98,509-547-8864,02/04/2021,00:00.0
S229202,16/02/2022,27/10/2023,7190.86,325262.15,4611.76,1675.46,10190,10,9763.3,123388.8,70990,69640,HF,200,509-547-8864,16/02/2022,00:00.0
S219089,02/05/2021,31/03/2022,367.08,26968.79,120.19,296.17,830,1,554.16,13047.1,10620,10450,X,20,509-547-8864,02/05/2021,00:00.0
S218072,01/06/2021,30/12/2021,323.94,93228.3,529.2,875.83,1400,2,1305.85,158014.5,119926,114450,NS,139,509-547-8864,01/06/2021,00:00.0
S216178,03/06/2021,30/09/2022,494.57,158763.42,1381.36,437.5,1020,1,902.95,251458.7,186681,171790,HF,213,509-547-8864,03/06/2021,00:00.0
S216180,06/06/2021,03/12/2021,327.67,136128.66,1541.36,637.58,790,1,680.49,236590.4,184599,180740,HF,204,509-547-8864,06/06/2021,00:00.0
S217025,07/04/2021,30/12/2021,497.98,127083.3,2009.93,83.63,2370,3,1075.04,0.01,89062,84540,NULL,141,509-547-8864,07/04/2021,00:00.0
S228136,20/10/2022,27/10/2023,12823.92,532349.28,5352.88,1260.33,540,1,103.63,506367.17,237903,228462,NS,432,509-547-8864,20/10/2022,NULL
S217029,20/04/2021,03/12/2021,144,131422.1,1007.2,3129,1120,1,54.25,190073.78,135050,130490,NM,187,509-547-8864,20/04/2021,00:00.0
S228124,23/09/2022,08/05/2023,5139.52,196333.39,1526.72,310.25,1320,1,1457.41,284889.72,147386,140476,ST,171,509-547-8864,23/09/2022,00:00.0
S228125,27/09/2022,08/05/2023,5956.38,227925.94,1807.73,208.01,770,1,126.17,340252.56,183573,178800,ST,199,509-547-8864,27/09/2022,00:00.0
S226212,30/10/2022,11/07/2023,3697.91,113276.53,2013.16,139.26,980,1,1114.06,165608.45,94720,89450,HF,126,509-547-8864,30/10/2022,00:00.0
S216190,15/06/2021,03/05/2022,2104.85,105633.54,1612.23,153.56,580,1,128,0.01,56120,56120,HF,108,509-547-8864,15/06/2021,00:00.0
S216067,11/03/2021,29/09/2021,0,105711.99,1750.95,398.9,1530,2,823.28,165762,129514,129280,HF,150,509-547-8864,11/03/2021,00:00.0
S227060,23/09/2022,08/05/2023,4048.15,147712.23,3138.37,375.75,990,1,267.22,199170.34,133617,129410,NULL,138,509-547-8864,23/09/2022,00:00.0
S227069,07/10/2022,07/08/2023,5678.86,207205.91,1635.44,977.07,930,1,1490.84,235959.98,132006,125940,NM,191,509-547-8864,07/10/2022,00:00.0
S228135,13/10/2022,08/09/2023,22177,781886.62,9730.71,3963.37,4370,5,3210.79,944443.94,526254,511480,NS,752,509-547-8864,13/10/2022,00:00.0
S226209,20/10/2022,06/11/2023,10420.92,401650.24,3956.54,898.61,2380,3,2216.09,360024.5,180033,171118,NH,349,509-547-8864,20/10/2022,00:00.0
S218046,08/03/2021,29/09/2021,36.99,188143.4,2796.65,1736.95,2660,3,1331.79,281316.25,206071,198400,ST,254,509-547-8864,08/03/2021,00:00.0
S216043,25/02/2021,08/09/2021,25.65,108592.69,2157.66,369.77,760,1,182.5,0.01,154250,154250,HF,190,509-547-8864,25/02/2021,00:00.0
S216046,25/02/2021,08/09/2021,22.68,92046.84,1922.86,287.35,2160,2,564.25,0.01,145100,145100,HF,168,509-547-8864,25/02/2021,00:00.0
S218059,22/04/2021,08/09/2021,0,96266.79,313.99,387.79,710,1,80,0.01,296020,296020,ST,242,509-547-8864,22/04/2021,00:00.0
S218064,04/05/2021,08/09/2021,0,84863.19,313.99,185.51,2020,2,1180.27,0.01,308550,308550,ST,242,509-547-8864,04/05/2021,00:00.0
S218042,02/03/2021,08/09/2021,0,130680.4,265.98,395.42,960,1,193,0.01,202350,202350,ST,205,509-547-8864,02/03/2021,00:00.0
S218066,10/05/2021,03/12/2021,319.08,164003.83,1154.45,396.33,840,1,663.73,227681.12,164569,160421,ST,197,509-547-8864,10/05/2021,00:00.0
S216059,08/03/2021,08/09/2021,40.5,106174.74,1938.44,86.43,1000,1,771.55,165353.86,120692,116090,HF,150,509-547-8864,08/03/2021,00:00.0
S216159,20/05/2021,03/12/2021,149.48,99855.94,920.91,69.41,1010,1,769.98,164606.73,124765,118730,HF,142,509-547-8864,20/05/2021,00:00.0
S218048,09/03/2021,08/09/2021,17.28,89899.04,1434.94,460.6,1030,1,1102.19,159152.87,118568,114990,ST,128,509-547-8864,09/03/2021,00:00.0
S217027,14/04/2021,29/09/2021,0,39080.94,1547.7,821.26,1590,2,458.5,62504.6,63694,59440,NULL,68,509-547-8864,14/04/2021,00:00.0
S218073,02/06/2021,30/12/2021,242.29,63947.22,335.03,503.63,980,1,924.54,0,72245,72245,NS,88,509-547-8864,02/06/2021,00:00.0
S218074,02/06/2021,01/03/2022,684.33,70884.62,301.77,410.49,670,1,165,0,60845,60845,NS,83,509-547-8864,02/06/2021,00:00.0
S219507,02/03/2021,03/05/2022,3475.66,284828.65,4042.86,626.93,3180,5,653.99,165519.49,110889,109574,NULL,287,509-547-8864,02/03/2021,00:00.0
S219083,17/03/2021,03/12/2021,9.36,16051.59,382.38,116.58,1000,1,190,13354.51,14777,14110,X,20,509-547-8864,17/03/2021,00:00.0
S219081,02/03/2021,08/06/2022,5872.62,441141.09,6753.7,1750.98,4490,5,2433.77,153280.77,122436,119480,X,300,509-547-8864,02/03/2021,00:00.0
S216126,21/04/2021,03/12/2021,173.45,240920.07,2266.89,88.51,840,1,780.99,327361.29,234611,219765,HF,295,509-547-8864,21/04/2021,00:00.0
S228009,24/01/2022,29/01/2023,3141.96,200417.7,2599.65,105.45,650,1,228.98,318781.51,203981,200690,ST,230,509-547-8864,24/01/2022,00:00.0
S219509,16/04/2021,30/09/2022,3096.21,197735.09,3889.91,571.05,1360,2,966.53,88780.68,55432,54280,HF,154,509-547-8864,16/04/2021,00:00.0
S227004,30/01/2022,05/10/2022,1530.46,92510.13,806.33,373.32,1720,2,615.27,0.01,124180,124180,NM,142,509-547-8864,30/01/2022,00:00.0
S228015,10/02/2022,12/12/2022,922.08,118866.93,478.65,1105.89,1940,2,1895.35,131435.46,83187,82580,NS,106,509-547-8864,10/02/2022,00:00.0
S229107,18/01/2022,13/06/2023,8767.11,380442.91,4798.73,1605.28,6120,6,3491.24,118943.15,84285,82760,X,220,509-547-8864,18/01/2022,00:00.0
S209048,11/08/2020,08/09/2021,1942.18,143082.12,2958.28,549.46,2010,2,1226.41,61736.36,57740,55450,X,137,509-547-8864,11/08/2020,00:00.0
S229821,29/03/2022,13/07/2023,6023.13,315006.72,4856.82,841.95,5830,7,3906.03,127929.91,74585,73470,ST,200,509-547-8864,29/03/2022,00:00.0
S227017,01/04/2022,03/04/2023,1450.34,221030.46,2072.83,789.22,1660,2,1709.56,0.02,146080,146080,NULL,199,509-547-8864,01/04/2022,00:00.0
S226038,29/03/2022,09/11/2022,1080.49,119605.74,1890.04,1120.7,2830,3,2332.66,189222.4,126224,125470,HF,161,509-547-8864,29/03/2022,00:00.0
S226037,27/03/2022,12/10/2022,221.26,132618.86,1752.08,462.36,1130,1,1086.19,181173.07,118088,114230,HF,149,509-547-8864,27/03/2022,00:00.0
S227016,31/03/2022,09/11/2022,330.84,206785.57,2007.65,1137.19,940,1,848.61,313650.43,213303,213280,NULL,242,509-547-8864,31/03/2022,00:00.0
S229203,23/02/2022,13/07/2023,7374,334912.98,5167.05,865.34,970,1,867.45,131014.7,73721,73700,HF,210,509-547-8864,23/02/2022,00:00.0
S229114,26/02/2022,08/05/2023,5815.35,258559.07,3156.61,941.33,2020,2,1161.27,85462.35,57230,56010,X,145,509-547-8864,26/02/2022,00:00.0
S228006,20/01/2022,29/01/2023,1687.67,115539.71,2085.37,837.28,670,1,599.97,168349.63,112714,108610,ST,142,509-547-8864,20/01/2022,00:00.0
S228010,26/01/2022,14/09/2022,2622.18,177034.04,1548.04,251.61,860,1,98.21,282166.59,180114,183790,ST,201,509-547-8864,26/01/2022,00:00.0
S228016,11/02/2022,10/10/2022,2360.88,197693.25,9833.65,4089.27,7810,9,6950.73,313020.9,210073,209880,ST,236,509-547-8864,11/02/2022,00:00.0
S226023,06/03/2022,11/10/2022,796.83,148956.96,8762.21,259.53,2060,2,2233.55,211717.29,142856,135190,HF,173,509-547-8864,06/03/2022,00:00.0
S229115,06/03/2022,09/01/2023,194.45,46187.69,365.5,225.76,2480,2,1529.2,54123.88,61673,59260,X,57,509-547-8864,06/03/2022,00:00.0
S229604,15/03/2022,14/03/2023,4576.89,305960.9,3036.13,229.05,1950,2,2335.12,169075.07,111818,109850,ST,220,509-547-8864,15/03/2022,00:00.0
S229201,24/01/2022,13/06/2023,7866.49,316090.09,5093.03,1354.71,3900,5,2916.95,120907.22,73210,72060,HF,200,509-547-8864,24/01/2022,00:00.0
S209033,14/05/2020,28/07/2021,2807.55,157849,3545.28,1479.53,1120,1,210,64204.06,58865,57870,X,158,509-547-8864,14/05/2020,00:00.0
S229117,20/03/2022,10/04/2023,4323.6,317897.46,2260.18,638.08,2681,3,2199.47,164117.9,142982,140860,X,220,509-547-8864,20/03/2022,00:00.0
S229205,05/04/2022,13/07/2023,6181.33,290395.83,4967.8,771.57,770,1,232.77,133528.67,79510,77940,HF,204,509-547-8864,05/04/2022,00:00.0
S229113,25/02/2022,08/05/2023,4566.68,182192.19,2218.35,737.67,1070,1,249.94,53644.99,36534,35830,X,102,509-547-8864,25/02/2022,00:00.0
S228029,10/03/2022,10/10/2022,628.18,130769.17,1687.24,819.06,760,1,643.56,204075.55,129786,123930,ST,158,509-547-8864,10/03/2022,00:00.0
S228031,13/03/2022,10/10/2022,1876.3,294306.08,3170.32,747.7,910,1,223.75,601618.33,399959,386940,ST,410,509-547-8864,13/03/2022,00:00.0
S228022,02/03/2022,09/11/2022,2334.85,354484,3419.55,853.68,1100,1,1188.35,615680.57,405053,404920,ST,444,509-547-8864,02/03/2022,00:00.0
S228023,04/03/2022,10/10/2022,1421.24,184826.03,2259.58,758.87,1110,1,1188.05,286428.79,187528,182960,ST,206,509-547-8864,04/03/2022,00:00.0
S228024,08/03/2022,09/11/2022,1641.62,232748.24,9376.3,3128.84,3740,4,3909.66,376406.56,244569,243930,ST,280,509-547-8864,08/03/2022,00:00.0
S228025,08/03/2022,13/09/2022,1332.33,155986.95,2326.11,434.65,950,1,238.75,0.02,193740,193740,ST,215,509-547-8864,08/03/2022,00:00.0
S226029,13/03/2022,09/11/2022,1794.38,377346.55,5752.37,533.67,2720,3,2319.48,644472.47,430021,412060,HF,503,509-547-8864,13/03/2022,00:00.0
S226034,18/03/2022,09/11/2022,1111.36,365171.54,4712.72,1253.25,3520,4,3274.75,494183.54,336973,335530,HF,394,509-547-8864,18/03/2022,00:00.0
S226057,17/04/2022,12/12/2022,388.59,157834.73,1502.1,506.21,2080,2,2087.61,192351.37,126858,121255,HF,150,509-547-8864,17/04/2022,00:00.0
S227021,02/05/2022,12/12/2022,310.92,60757.63,670.61,447.71,1040,1,1147.24,71152.12,47753,49230,NULL,61,509-547-8864,02/05/2022,00:00.0
S226067,04/05/2022,06/02/2023,669.55,55701.89,315.17,458,1790,2,869.07,0.01,42130,42130,NH,55,509-547-8864,04/05/2022,00:00.0
S229122,10/05/2022,27/10/2023,4668.19,215727.07,2980.64,949.1,1120,1,1343.18,60402.94,50885,50710,X,133,509-547-8864,10/05/2022,00:00.0
S229611,15/05/2022,08/05/2023,2863.37,135653.37,1064.97,617.14,1040,1,916.41,85590.61,64327,63480,NULL,97,509-547-8864,15/05/2022,00:00.0
S229607,26/04/2022,14/03/2023,770.37,73526.1,904.95,241.19,960,1,754.55,70250.48,52530,52530,ST,82,509-547-8864,26/04/2022,00:00.0
S228053,04/05/2022,14/03/2023,1292.49,157460.67,590.11,559.61,890,1,311.5,146500,132070,132070,NS,155,509-547-8864,04/05/2022,00:00.0
